NRIC,Name,Gender,BloodType,Disease,Age,Zipcode,BMI,DateOfDiagnosis
T6837534X,Shelly Irvin,F,AB,Mumps,71,571671,31.9,1998-06-02
S4765410M,Steven Garcia,F,A,Dengue,44,341726,33.4,2005-11-21
G7708471Z,Mark Mcgowan,F,AB,Diphtheria,58,671139,32.4,2019-11-17
F5232784N,Crystal Witham,M,A,Anthrax,21,643456,37.9,2012-05-18
F3423300M,Cristina Sloan,M,A,Pneumococcal,75,238418,26.7,2002-06-26
T4499257W,Alison Stewart,F,AB,Measles,53,736330,18.8,1996-06-11
T2836750X,Andrea Jeans,F,B,Pneumococcal,71,131278,38.3,1990-12-30
T3682541G,Kathleen Spence,F,AB,Mumps,34,604739,19.0,2001-09-30
G3539338K,Grant Medeiros,M,O,Rabies,87,731740,23.6,2013-10-21
T9260200M,Charles Renn,M,A,Chikungunya,67,621481,35.2,1990-04-04
F8829971P,Janice Martin,F,B,HIV/ AIDS,88,755319,36.7,1994-08-11
F3885026D,Curtis Adamczyk,F,O,Mumps,64,121499,36.0,2008-11-30
S6120608S,Vanessa Matthews,F,O,Diphtheria,18,689291,34.2,1991-07-10
T4488328A,Michael Koehn,F,O,Hepatitis,19,461554,21.6,1994-09-20
G1378941O,Eric Mcdonald,M,O,Plague,32,307573,20.4,1990-10-03
G4703880R,Adele Goldberg,F,B,Tuberculosis,44,404816,22.1,2009-02-08
G5846227X,Harry Woods,F,A,Conjunctivitis,32,591439,28.7,2019-04-12
G1519856T,Sallie Collazo,F,O,Anthrax,45,655648,38.8,2014-12-15
T6228829F,Jeremy Copper,M,A,COVID-19,24,347493,33.9,2020-01-29
S4517650F,Silvia Walker,F,AB,Anthrax,26,541148,20.0,2017-11-28
G2498828V,David Wilson,M,AB,Nipah,19,594046,28.1,2019-01-31
G4721030C,Tanya Cromartie,F,AB,Measles,36,212895,19.3,2010-01-11
G7657127Y,Etta Straker,F,AB,Smallpox,40,752775,21.4,2020-02-12
G2430144Z,Annie Warncke,F,O,Anthrax,72,351494,27.7,2011-11-06
G1040505T,Sally Bramlet,M,A,Chickenpox,39,518345,32.0,2004-06-18
S6271723B,Dorothy Dowdy,M,AB,Nipah,42,372376,38.4,2000-06-14
F6079235H,Elaine Savage,F,O,Chikungunya,29,287883,28.0,2002-11-25
S5104821T,Lynda Lewis,F,O,Chikungunya,34,407664,31.4,2021-06-01
T3583613S,Robert Curry,F,A,Mumps,18,753164,37.5,2019-03-16
F5955740R,John Stone,F,A,Dengue,87,224823,22.1,2000-07-04
G3935072Y,Katherine Tang,M,A,Rabies,35,793422,28.0,2017-11-02
F8693659B,David Thomas,F,O,Smallpox,85,366317,21.1,2003-06-03
S9978736G,Dorothy Ault,M,O,Typhoid,25,361403,20.4,1999-04-15
T0577087L,Rebecca Martin,M,B,Influenza,87,274469,36.3,2009-01-20
F6694398D,Betty Francis,F,AB,Dengue,86,779136,28.0,1990-04-21
T0815550V,Caitlin Heichel,F,A,Mumps,22,629879,29.3,1994-04-25
S4801905D,Wanda Simmons,F,B,Cholera,69,558282,20.4,1999-07-10
T6533330V,Michael Creamer,F,AB,Food Poisoning,59,248157,36.2,2001-07-04
F8422711J,Bernice Lyons,M,B,Chickenpox,87,177358,36.5,2018-09-17
T1346966O,Sylvia Jung,F,O,Influenza,60,792199,34.5,1994-07-07
T8266997B,Josephine Begor,M,A,Pneumococcal,58,207111,31.2,2006-02-19
T3263551R,Wayne Fairbanks,M,B,Chikungunya,20,502988,25.7,2006-11-06
F4547761H,Deborah Campbell,F,O,Chikungunya,38,591427,37.5,2006-09-29
S7236380Q,Katie Wilkerson,M,A,Food Poisoning,66,291236,38.5,2014-01-21
S0697629B,Donald Taylor,M,O,Nipah,78,148800,34.9,2018-03-11
S4064183L,Giovanni Roberts,M,B,Diphtheria,58,486950,37.8,2014-04-16
G9311433Z,Sharon Lynn,F,A,Rabies,73,688930,22.3,1997-06-11
S5289807N,Anna Watson,F,AB,COVID-19,58,239482,36.9,2000-10-25
S3790932U,Ross Vanhorn,M,B,Malaria,70,654160,25.8,1997-04-28
G2787938Y,Gregory Eaddy,M,O,Measles,20,222426,31.0,2000-09-07
T6883643E,Ellen Privett,M,O,Malaria,64,175328,33.8,1991-02-05
G0900970B,James Robinson,F,AB,Rubella,80,693172,37.7,2008-05-11
T5522863O,David Peters,F,A,Nipah,27,488157,34.3,1992-11-19
F6576102X,Jeremy Zahn,M,O,Cholera,88,560016,21.8,2019-05-23
T5384663D,Jane Wick,F,AB,Chikungunya,47,190912,37.8,2003-07-11
T3591981O,Aretha Mctaggart,M,O,Food Poisoning,41,330236,28.7,1999-01-25
G1376732V,Vicky Hoffman,F,AB,HIV/ AIDS,41,165729,19.8,2007-10-23
G7227404W,Mae Speigel,F,O,Conjunctivitis,66,339344,25.6,1990-07-18
G8851137G,Darryl Castro,F,A,Malaria,34,450226,28.1,2004-08-10
G1225308M,Irvin Davis,F,A,Anthrax,19,682790,39.3,2002-02-01
T0187935G,Wallace Russ,F,AB,Rabies,83,740588,21.7,1995-04-28
F4205375Q,Kristopher Gordon,M,B,Plague,82,726547,29.8,1996-11-17
T9038535X,Donald Gray,F,AB,Influenza,20,691409,20.7,2021-07-12
F0645856Y,Charles Havens,M,B,Typhoid,70,173199,29.1,2004-01-23
G6367382D,Vicki Mcnutt,F,O,Influenza,28,676577,21.6,2000-11-28
S4252619K,Tina Cotton,F,O,Tuberculosis,40,650011,39.2,2011-02-20
F3515749E,Edward Lum,F,AB,Rabies,54,709937,37.1,1991-12-20
S7710500C,Rebecca Tompkins,M,A,Cholera,66,103072,24.7,1997-01-30
S7446074L,James Pelkey,F,O,HIV/ AIDS,42,703203,24.1,1998-12-08
G4319808V,Rowena Megown,M,A,Tuberculosis,89,467111,24.1,1994-06-18
G6893095E,Arthur Norris,F,AB,Rubella,88,754855,38.8,2000-11-28
F7455107R,Brent Guzman,F,O,Rabies,61,667151,36.9,2021-08-13
G1040471C,Marlene Bowers,M,O,Measles,50,267601,24.1,1993-07-23
S7472724V,Mary Bernard,F,A,Mumps,57,499330,29.8,1994-04-19
F9953629T,Marion Zieman,M,A,Hepatitis,76,555099,38.2,2018-02-25
F5254581Z,Leatha Styles,M,A,Rubella,22,298992,28.5,1994-08-07
S5126426A,Kenneth Nichols,F,A,Influenza,61,415540,23.9,2018-02-25
F7792922R,Daniel Schneider,F,AB,Rabies,22,656472,19.1,2015-10-20
T2718695Z,Grant Bushee,F,O,Mumps,66,218834,35.8,1992-01-28
T0240232W,Minnie Watkins,M,AB,Anthrax,50,235450,20.0,2003-11-11
F7737109A,Joshua Centeno,M,O,Malaria,47,477294,28.6,2005-09-27
T9533593E,Randall Gross,F,A,COVID-19,44,296855,24.1,2012-05-20
S6993904Y,Joseph Fitzpatrick,F,B,Nipah,45,354980,20.9,2016-05-27
G7277842W,Lavone Gregg,F,B,Cholera,39,483263,27.5,2001-06-27
G7179993E,Gale Stewart,F,AB,Cholera,63,661505,22.2,1992-07-12
T7800522Q,Aaron Cummings,F,O,Nipah,42,382277,35.9,1999-08-21
S1159133E,Sheila Decker,F,AB,Rabies,86,379892,24.5,2010-11-07
S4310736E,Adrian Smith,M,A,Measles,89,636081,34.6,2016-10-27
G5090192T,Terry Butler,F,AB,Smallpox,77,591852,32.5,2006-11-21
F1310472T,Annie Cassidy,F,O,Pneumococcal,82,166564,26.4,2011-10-12
T1906453P,Shawn Mccants,M,B,Mumps,54,160159,33.2,1997-01-22
S5190431S,Herbert Coleman,M,B,Influenza,32,453644,33.6,2021-01-17
T1942555L,John Hill,F,O,Hepatitis,18,572455,27.8,1996-12-06
F0535001O,Thomas Banderas,F,O,Hepatitis,40,674707,31.5,1990-09-26
G3284619L,Philip Borg,F,A,Diphtheria,54,177625,34.9,2004-10-07
G0218879J,Kristel Armstead,F,O,Conjunctivitis,51,524524,31.0,1995-05-09
G7486557E,Hazel Williams,F,AB,Malaria,44,605916,20.6,2007-03-18
F1699859Z,Michael Lyles,F,A,Rabies,41,185547,21.0,2015-10-20
T7913967H,Amanda Stansbury,F,AB,Conjunctivitis,59,782927,21.8,1990-11-26
S6547686R,Tracy Blunt,F,O,Diphtheria,65,100219,38.7,2016-05-19
T6327711O,Edward Barnett,F,A,Dengue,53,655955,30.4,2014-09-07
F6894221G,Ron Smith,F,B,Diphtheria,61,654090,28.0,2018-01-03
F2630034G,Joseph Taylor,F,AB,HIV/ AIDS,68,378137,32.5,2021-11-04
F2026049H,Meghan Schulman,F,A,Chikungunya,18,763161,39.4,2007-06-07
G9057330L,Stewart Brown,F,O,Smallpox,75,780282,37.2,1995-03-17
T2866815I,Shirley Huggins,M,O,Mumps,54,180710,32.8,2011-02-20
G7295496K,Virginia Dill,F,A,Dengue,48,246988,36.6,2004-03-20
G2548464Y,Frederick Vildosola,M,AB,Mumps,67,477980,21.5,2015-04-03
S1548364E,Willie Anderson,F,AB,Measles,27,639919,20.0,1990-02-14
F4352442P,Stanley Runyon,F,O,Mumps,46,411322,25.0,2005-05-12
F2751292I,Cindy Wall,M,A,Rubella,48,734496,38.6,2001-04-29
G2313112W,Angela Reif,M,O,Dengue,53,209915,35.5,2002-04-28
T2081589D,Mark Lewandowski,M,A,Chikungunya,33,496798,26.4,2004-04-05
S1080832P,Amanda Fox,M,O,Chickenpox,62,432015,36.4,2017-03-02
F6959698N,Ana Holmes,M,O,Plague,32,600435,25.8,2002-11-08
F5718250R,Betty Powell,M,AB,Nipah,25,417321,38.8,2015-03-08
S0560099O,Miguel Friedman,F,O,Chickenpox,34,587490,38.9,2009-06-29
S8964601A,Yetta Cruz,F,A,Conjunctivitis,40,328498,18.7,2017-04-07
F4700556E,Mary Elsey,M,B,Mumps,36,441513,27.2,1999-06-09
T2594778K,Mark Garcia,F,B,Chickenpox,81,563767,19.2,2008-05-12
S6798075S,Desiree Clemons,F,A,Plague,79,505864,39.9,2010-08-04
T4445134K,Hilton Carpenter,F,O,Mumps,74,204823,18.8,2019-09-18
T7606946R,Marta Kirk,M,O,Chikungunya,52,707563,22.2,2008-12-29
S1251965V,Nancy Mcnamara,M,A,Smallpox,42,761240,33.0,2009-08-10
G1595974M,Christopher Ginn,F,AB,COVID-19,62,632513,20.0,1993-06-08
F1519316S,Porsche Currier,M,O,Diphtheria,30,318154,22.1,2012-03-12
S5357272S,Mark Warnock,M,AB,COVID-19,79,642236,24.5,2017-03-14
G2208240G,Charlotte Hays,M,B,Cholera,82,805364,27.8,2014-03-26
G5846431V,Donald Osegueda,M,AB,Anthrax,82,571174,30.2,2001-02-23
S8754919L,Paula Shelton,F,B,Chickenpox,64,359159,18.7,2003-06-15
G0344119M,Henrietta Lu,M,AB,HIV/ AIDS,44,755258,39.4,1995-09-29
F0917764B,Mark Taylor,M,AB,Malaria,78,376777,21.4,2017-01-01
T3085629F,Julie Avella,M,A,COVID-19,23,685974,34.5,2021-03-29
T2462763B,Phyllis Hersey,F,A,Chikungunya,45,777765,32.2,2010-04-03
T2832928W,Jack Brodie,F,O,Malaria,62,286477,20.5,2010-10-24
F5373880T,Chris Chairez,M,AB,Plague,71,348721,33.0,1993-10-11
F2637004U,Dewayne Luna,F,A,Nipah,20,442163,33.0,1994-08-30
G4555610R,Troy Wilson,F,AB,Rubella,55,745641,20.2,2009-12-24
T4223627Y,David Noman,M,AB,Tuberculosis,64,697653,23.1,1997-01-21
S7645770X,Frank Knox,M,B,Malaria,29,551969,21.5,2017-08-03
S0128882U,Steven Cearns,F,A,Food Poisoning,48,572238,27.2,1994-01-15
F9216509D,Larry Cotton,F,A,Chickenpox,21,220837,37.8,1991-01-27
G7962602Y,Amanda Blackstone,M,B,Hepatitis,73,744178,39.7,2013-08-30
T2963820W,Jessica Lalonde,M,AB,Rubella,37,681020,23.7,2005-07-02
T0847814T,William Pinkston,M,A,HIV/ AIDS,28,596996,34.9,1998-03-31
T7069010J,Henry Melendez,M,B,Chikungunya,36,657911,19.0,2006-04-13
G9243812S,Angeline Richardson,M,AB,Plague,41,440887,35.7,1999-03-12
G6881471U,James Hawk,M,B,Plague,35,451652,31.3,2022-04-21
G7530817O,Kimberly Kirkland,M,A,Chickenpox,22,380596,32.2,2021-11-03
F3119857O,Gregory Thompson,F,A,Anthrax,86,133715,20.6,2007-11-19
F4703349X,Jerry Shaw,M,A,Cholera,27,660664,37.9,2020-06-13
S4760236N,Kenneth Ward,F,B,Mumps,88,199684,19.9,1996-03-01
F7893952J,Henry Lane,F,B,Chickenpox,55,165133,31.0,2006-06-29
G5232865R,Vera Doyle,M,AB,Rubella,61,709311,30.2,2005-08-27
T0884666P,Sammie Silvera,M,A,Plague,52,803111,19.7,2008-06-09
G0260005R,Jon Craft,F,AB,Cholera,89,353643,37.7,1998-04-22
T6251994M,Brian Harris,F,B,Typhoid,26,320185,27.0,1998-06-05
G2984191Y,Arturo Flanagan,F,B,Rubella,41,254886,38.8,2008-03-05
S9464936K,William Morris,M,B,HIV/ AIDS,71,195457,27.0,2011-02-02
T8782134H,Marcella Rendon,M,A,Pneumococcal,86,614424,35.5,1994-01-03
F7281729M,John Moster,M,A,Plague,85,113748,34.3,2020-07-20
F9697810B,Michael Johnson,M,AB,Pneumococcal,35,613841,33.1,2021-02-21
